"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DR4JWCDU","journalArticle","2021","Marley, Mark S.; Saumon, Didier; Visscher, Channon; Lupu, Roxana; Freedman, Richard; Morley, Caroline; Fortney, Jonathan J.; Seay, Christopher; Smith, Adam J. R. W.; Teal, D. J.; Wang, Ruoyan","The Sonora Brown Dwarf Atmosphere and Evolution Models I. Model Description and Application to Cloudless Atmospheres in Rainout Chemical Equilibrium","The Astrophysical Journal","","0004-637X, 1538-4357","10.3847/1538-4357/ac141d","http://arxiv.org/abs/2107.07434","We present a new generation of substellar atmosphere and evolution models, appropriate for application to studies of L, T, and Y-type brown dwarfs and self-luminous extrasolar planets. The atmosphere models describe the expected temperature-pressure proﬁles and emergent spectra of atmospheres in radiative-convective equilibrium with eﬀective temperatures and gravities within the ranges 200 ≤ Teﬀ ≤ 2400 K and 2.5 ≤ log g ≤ 5.5. These ranges encompass masses from about 0.5 to 85 Jupiter masses for a set of metallicities ([M/H] = −0.5 to +0.5), C/O ratios (from 0.5 to 1.5 times that of solar), and ages. The evolution tables describe the cooling of these substellar objects through time. These models expand the diversity of model atmospheres currently available, notably to cooler eﬀective temperatures and greater ranges in C/O. Notable improvements from past such models include updated opacities and atmospheric chemistry. Here we describe our modeling approach and present our initial tranche of models for cloudless, chemical equilibrium atmospheres. We compare the modeled spectra, photometry, and evolution to various datasets.","2021-10-01","2022-02-08 00:08:30","2022-02-08 00:08:30","2022-02-08 00:08:30","85","","2","920","","ApJ","","","","","","","","en","","","","","arXiv.org","","arXiv: 2107.07434","","/Users/cwilkinson/Zotero/storage/BQRP5P2J/Marley et al. - 2021 - The Sonora Brown Dwarf Atmosphere and Evolution Mo.pdf","","","Astrophysics - Earth and Planetary Astrophysics; Astrophysics - Solar and Stellar Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A8PLRWCS","webpage","","","[2107.07434] The Sonora Brown Dwarf Atmosphere and Evolution Models I. Model Description and Application to Cloudless Atmospheres in Rainout Chemical Equilibrium","","","","","https://arxiv.org/abs/2107.07434","","","2022-02-18 14:17:39","2022-02-18 14:17:39","2022-02-18 14:17:39","","","","","","","","","","","","","","","","","","","","","","","/Users/cwilkinson/Zotero/storage/QBC8NLMF/2107.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALR4BUAA","journalArticle","2020","Mazevet, S.; Licari, A.; Soubiran, F.","Benchmarking the ab initio hydrogen equations of state for the interior structure of Jupiter","arXiv:2012.09454 [astro-ph]","","","","http://arxiv.org/abs/2012.09454","As Juno is presently measuring Jupiter's gravitational moments to unprecedented accuracy, models for the interior structure of the planet are putted to the test. While equations of state based on first principles or ab initio simulations have been available and used for the two most abundant elements constituting the envelope, hydrogen and helium, significant discrepancies remain regarding the predictions of the inner structure of Jupiter. The differences are severe enough to clutter the analysis of Juno's data and even cast doubts on the usefulness of these computationally expensive EOSs for the modeling of the interior of Jupiter and exoplanets at large. Using our newly developed equations of state for hydrogen and helium, we asses the ab initio equations of state currently available and establish their efficiency at predicting the interior structure of Jupiter in a two-layers model. By adjusting our free energy parameterization to reproduce previous ab initio EOS behavior, we identify the source of the disagreement previously reported for the interior structure of Jupiter. We further point to area where care should be taken when building EOS for the modeling of giant planets. This concerns the interpolation between the ab initio results and the physical models used to cover the low density range as well as the interpolation of the {\sl ab initio} simulation results at high densities. This sensitivity falls well within the uncertainties of the ab initio simulations. This suggests that hydrogen EOS should be carefully benchmarked using a simple planetary model before being used in the more advanced planetary models needed to interpret the Juno data. We finally provide an updated version of our ab initio hydrogen EOS recently published.","2020-12-17","2022-03-01 15:03:50","2022-03-01 15:03:52","2022-03-01 15:03:50","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 2012.09454","","/Users/cwilkinson/Zotero/storage/DYC2NYRH/Mazevet et al. - 2020 - Benchmarking the ab initio hydrogen equations of s.pdf; /Users/cwilkinson/Zotero/storage/37WAYXPG/2012.html","","","Astrophysics - Earth and Planetary Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3TBJCES","journalArticle","2020","Phillips, Mark W.; Tremblin, Pascal; Baraffe, Isabelle; Chabrier, Gilles; Allard, Nicole F.; Spiegelman, Fernand; Goyal, Jayesh M.; Drummond, Ben; Hebrard, Eric","A new set of atmosphere and evolution models for cool T-Y brown dwarfs and giant exoplanets","Astronomy & Astrophysics","","0004-6361, 1432-0746","10.1051/0004-6361/201937381","http://arxiv.org/abs/2003.13717","We present a new set of solar metallicity atmosphere and evolutionary models for very cool brown dwarfs and self-luminous giant exoplanets, which we term ATMO 2020. Atmosphere models are generated with our state-of-the-art 1D radiative-convective equilibrium code ATMO, and are used as surface boundary conditions to calculate the interior structure and evolution of $0.001-0.075\,\mathrm{M_{\odot}}$ objects. Our models include several key improvements to the input physics used in previous models available in the literature. Most notably, the use of a new H-He equation of state including ab initio quantum molecular dynamics calculations has raised the mass by $\sim1-2\%$ at the stellar-substellar boundary and has altered the cooling tracks around the hydrogen and deuterium burning minimum masses. A second key improvement concerns updated molecular opacities in our atmosphere model ATMO, which now contains significantly more line transitions required to accurately capture the opacity in these hot atmospheres. This leads to warmer atmospheric temperature structures, further changing the cooling curves and predicted emission spectra of substellar objects. We present significant improvement for the treatment of the collisionally broadened potassium resonance doublet, and highlight the importance of these lines in shaping the red-optical and near-infrared spectrum of brown dwarfs. We generate three different grids of model simulations, one using equilibrium chemistry and two using non-equilibrium chemistry due to vertical mixing, all three computed self-consistently with the pressure-temperature structure of the atmosphere. We show the impact of vertical mixing on emission spectra and in colour-magnitude diagrams, highlighting how the $3.5-5.5\,\mathrm{\mu m}$ flux window can be used to calibrate vertical mixing in cool T-Y spectral type objects.","2020-05","2022-03-01 15:54:47","2022-03-01 15:54:47","2022-03-01 15:54:47","A38","","","637","","A&A","","","","","","","","","","","","","arXiv.org","","arXiv: 2003.13717","","/Users/cwilkinson/Zotero/storage/Q6XDR4GJ/Phillips et al. - 2020 - A new set of atmosphere and evolution models for c.pdf; /Users/cwilkinson/Zotero/storage/S2C9SLQH/2003.html","","","Astrophysics - Earth and Planetary Astrophysics; Astrophysics - Solar and Stellar Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UL4F579H","journalArticle","2019","Fernandes, Catarina S.; Van Grootel, Valerie; Salmon, Sebastien J. A. J.; Aringer, Bernhard; Burgasser, Adam J.; Scuflaire, Richard; Brassard, Pierre; Fontaine, Gilles","Evolutionary models for ultracool dwarfs","The Astrophysical Journal","","1538-4357","10.3847/1538-4357/ab2333","http://arxiv.org/abs/1906.05626","Ultracool dwarfs have emerged as key targets for searches of transiting exoplanets. Precise estimates of the host parameters (including mass, age, and radius) are fundamental to constrain the physical properties of orbiting exoplanets. We have extended our evolutionary code CLES (Code Li\'egeois d'Evolution Stellaire) to the ultracool dwarf regime. We include relevant equations of state for H, He, as well as C and O elements to cover the temperature-density regime of ultracool dwarf interiors. For various metallicities, we couple the interior models to two sets of model atmospheres as surface boundary conditions. We show that including C and O in the EOS has a significant effect close the H-burning limit mass. The typical systematic error associated with uncertainties in input physics in evolutionary models is $\sim 0.0005 M_\odot$. We test model results against observations for objects whose parameters have been determined from independent techniques. We are able to reproduce dynamical mass measurements of LSPM J1314+1320AB within $1\sigma$ with the condition of varying the metallicity (determined from calibrations) up to $2.5\sigma$. For GJ 65AB, a $2\sigma$ agreement is obtained between individual masses from differential astrometry and those from evolutionary models. We provide tables of ultracool dwarf models for various masses and metallicities that can be used as reference when estimating parameters for ultracool objects.","2019-07-10","2022-03-14 09:53:23","2022-03-14 09:53:23","2022-03-14 09:53:23","94","","2","879","","ApJ","","","","","","","","","","","","","arXiv.org","","arXiv: 1906.05626","","/Users/cwilkinson/Zotero/storage/C5Q3BT44/Fernandes et al. - 2019 - Evolutionary models for ultracool dwarfs.pdf; /Users/cwilkinson/Zotero/storage/UNHBZP6F/1906.html","","","Astrophysics - Earth and Planetary Astrophysics; Astrophysics - Solar and Stellar Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PILH8IQA","journalArticle","2012","Swift, Damian; Eggert, Jon; Hicks, Damien; Hamel, Sebastien; Caspersen, Kyle; Schwegler, Eric; Collins, Gilbert; Nettelmann, Nadine; Ackland, Graeme","Mass-radius relationships for exoplanets","The Astrophysical Journal","","0004-637X, 1538-4357","10.1088/0004-637X/744/1/59","http://arxiv.org/abs/1001.4851","For planets other than Earth, interpretation of the composition and structure depends largely on comparing the mass and radius with the composition expected given their distance from the parent star. The composition implies a mass-radius relation which relies heavily on equations of state calculated from electronic structure theory and measured experimentally on Earth. We lay out a method for deriving and testing equations of state, and deduce mass-radius and mass-pressure relations for key materials whose equation of state is reasonably well established, and for differentiated Fe/rock. We find that variations in the equation of state, such as may arise when extrapolating from low pressure data, can have significant effects on predicted mass- radius relations, and on planetary pressure profiles. The relations are compared with the observed masses and radii of planets and exoplanets. Kepler-10b is apparently 'Earth- like,' likely with a proportionately larger core than Earth's, nominally 2/3 of the mass of the planet. CoRoT-7b is consistent with a rocky mantle over an Fe-based core which is likely to be proportionately smaller than Earth's. GJ 1214b lies between the mass-radius curves for H2O and CH4, suggesting an 'icy' composition with a relatively large core or a relatively large proportion of H2O. CoRoT-2b is less dense than the hydrogen relation, which could be explained by an anomalously high degree of heating or by higher than assumed atmospheric opacity. HAT-P-2b is slightly denser than the mass-radius relation for hydrogen, suggesting the presence of a significant amount of matter of higher atomic number. CoRoT-3b lies close to the hydrogen relation. The pressure at the center of Kepler-10b is 1.5+1.2-1.0 TPa. The central pressure in CoRoT-7b is probably close to 0.8TPa, though may be up to 2TPa.","2012-01-01","2022-03-14 11:39:29","2022-03-14 11:39:29","2022-03-14 11:39:29","59","","1","744","","ApJ","","","","","","","","","","","","","arXiv.org","","arXiv: 1001.4851","","/Users/cwilkinson/Zotero/storage/BFBDJSEC/Swift et al. - 2012 - Mass-radius relationships for exoplanets.pdf; /Users/cwilkinson/Zotero/storage/AI79QLEZ/1001.html","","","Astrophysics - Earth and Planetary Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X9U4TQ3N","journalArticle","2019","Zeng, Li; Jacobsen, Stein B.; Sasselov, Dimitar D.; Petaev, Michail I.; Vanderburg, Andrew; Lopez-Morales, Mercedes; Perez-Mercader, Juan; Mattsson, Thomas R.; Li, Gongjie; Heising, Matthew Z.; Bonomo, Aldo S.; Damasso, Mario; Berger, Travis A.; Cao, Hao; Levi, Amit; Wordsworth, Robin D.","Growth model interpretation of planet size distribution","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.1812905116","https://pnas.org/doi/full/10.1073/pnas.1812905116","Significance                            The discovery of numerous exoplanet systems containing diverse populations of planets orbiting very close to their host stars challenges the planet formation theories based on the solar system. Here, we focus on the planets with radii of 2–4 R               ⊕               , whose compositions are debated. They are thought to be either gas dwarfs consisting of rocky cores embedded in H               2               -rich gas envelopes or water worlds containing significant amounts of H               2               O-dominated fluid/ice in addition to rock and gas. We argue that these planets are water worlds.                        ,                             The radii and orbital periods of 4,000+ confirmed/candidate exoplanets have been precisely measured by the               Kepler               mission. The radii show a bimodal distribution, with two peaks corresponding to smaller planets (likely rocky) and larger intermediate-size planets, respectively. While only the masses of the planets orbiting the brightest stars can be determined by ground-based spectroscopic observations, these observations allow calculation of their average densities placing constraints on the bulk compositions and internal structures. However, an important question about the composition of planets ranging from 2 to 4 Earth radii (R               ⊕               ) still remains. They may either have a rocky core enveloped in a H               2               –He gaseous envelope (gas dwarfs) or contain a significant amount of multicomponent, H               2               O-dominated ices/fluids (water worlds). Planets in the mass range of 10–15 M               ⊕               , if half-ice and half-rock by mass, have radii of 2.5 R               ⊕               , which exactly match the second peak of the exoplanet radius bimodal distribution. Any planet in the 2- to 4-R               ⊕               range requires a gas envelope of at most a few mass percentage points, regardless of the core composition. To resolve the ambiguity of internal compositions, we use a growth model and conduct Monte Carlo simulations to demonstrate that many intermediate-size planets are “water worlds.”","2019-05-14","2022-03-15 21:28:17","2022-03-15 21:28:17","2022-03-15 21:28:17","9723-9728","","20","116","","Proc. Natl. Acad. Sci. U.S.A.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/HNLWDTCU/Zeng et al. - 2019 - Growth model interpretation of planet size distrib.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YL6XXDDB","conferencePaper","2013","Guillot, Tristan; Lin, Douglas N. C.; Morel, Pierre; Havel, Mathieu; Parmentier, Vivien","Evolution of Exoplanets and their Parent Stars","The age of stars - 23rd Evry Schatzman School on Stellar Astrophysics","","","","https://hal.archives-ouvertes.fr/hal-01067983","Studying exoplanets with their parent stars is crucial to understand their population, formation and history. We review some of the key questions regarding their evolution with particular emphasis on giant gaseous exoplanets orbiting close to solar-type stars. For masses above that of Saturn, transiting exoplanets have large radii indicative of the presence of a massive hydrogen-helium envelope. Theoretical models show that this envelope progressively cools and contracts with a rate of energy loss inversely proportional to the planetary age. The combined measurement of planetary mass, radius and a constraint on the (stellar) age enables a global determination of the amount of heavy elements present in the planet interior. The comparison with stellar metallicity shows a correlation between the two, indicating that accretion played a crucial role in the formation of planets. The dynamical evolution of exoplanets also depends on the properties of the central star. We show that the lack of massive giant planets and brown dwarfs in close orbit around G-dwarfs and their presence around F-dwarfs are probably tied to the different properties of dissipation in the stellar interiors. Both the evolution and the composition of stars and planets are intimately linked.","2013-09","2022-03-15 21:50:40","2022-03-15 21:50:40","2022-03-15 21:50:40","in press","","","","","","","EAS Publication Series","","","","EDP Sciences","Roscoff, France","","","","","","HAL Archives Ouvertes","","","","/Users/cwilkinson/Zotero/storage/INHXXXHC/Guillot et al. - 2013 - Evolution of Exoplanets and their Parent Stars.pdf","","","","Y. Lebreton, D. Valls-Gabaud; Charbonnel, C.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W24LB6GM","journalArticle","2013","Militzer, B.; Hubbard, W. B.","Ab Initio Equation of State for Hydrogen-Helium Mixtures with Recalibration of the Giant-Planet Mass-Radius Relation","The Astrophysical Journal","","0004-637X, 1538-4357","10.1088/0004-637X/774/2/148","http://arxiv.org/abs/1302.4691","Using density functional molecular dynamics simulations, we determine the equation of state for hydrogen-helium mixtures spanning density-temperature conditions typical of giant planet interiors, ~0.2-9 g/cc and 1000-80000 K for a typical helium mass fraction of 0.245. In addition to computing internal energy and pressure, we determine the entropy using an ab initio thermodynamic integration technique. A comprehensive equation of state (EOS) table with 391 density-temperature points is constructed and the results are presented in form of two-dimensional free energy fit for interpolation. Deviations between our ab initio EOS and the semi-analytical EOS model by Saumon and Chabrier are analyzed in detail, and we use the results for initial revision of the inferred thermal state of giant planets with known values for mass and radius. Changes are most pronounced for planets in the Jupiter mass range and below. We present a revision to the mass-radius relationship which makes the hottest exoplanets increase in radius by ~0.2 Jupiter radii at fixed entropy and for masses greater than ~0.5 Jupiter mass. This change is large enough to have possible implications for some discrepant ""inflated giant exoplanets"".","2013-08-26","2022-05-18 13:57:41","2022-05-18 13:57:41","2022-05-18 13:57:41","148","","2","774","","ApJ","","","","","","","","","","","","","arXiv.org","","arXiv:1302.4691 [astro-ph]","","/Users/cwilkinson/Zotero/storage/XH8VNQ9M/Militzer et Hubbard - 2013 - Ab Initio Equation of State for Hydrogen-Helium Mi.pdf; /Users/cwilkinson/Zotero/storage/25JVT3RI/1302.html","","","Astrophysics - Earth and Planetary Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HY25I3W2","webpage","","","View article","","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B7SnYW4AAAAJ&citation_for_view=B7SnYW4AAAAJ:u5HHmVD_uO8C","","","2022-05-30 09:49:00","2022-05-30 09:49:07","2022-05-30 09:49:00","","","","","","","","","","","","","","","","","","","","","","","/Users/cwilkinson/Zotero/storage/73HUGADU/citations.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NML6ATWG","journalArticle","2022","Apffel, Benjamin; Wilkinson, Christian; Fort, Emmanuel","Liquid interface shaping and transport phenomena induced by spatially inhomogeneous vibrations","The European Physical Journal Plus","","2190-5444","10.1140/epjp/s13360-022-02537-6","http://arxiv.org/abs/2205.01630","Vibrations can dynamically stabilize otherwise unstable liquid interfaces and produce new dynamic equilibria, called vibro-equilibria. Typically, the vibrations are homogeneous in the liquid and the liquid interface remains approximately flat. Here, we produce controlled vertical vibration gradients by taking advantage of the resonant oscillations of sinking submerged bubbles. The locally increased amplitude of the vibrations induces a local elevation of the liquid interface that can be controlled and engineered. The mean elevation of the interface can be linked theoretically with the local vibration amplitude by a simple formula that is tested experimentally. In addition, the transport of a floating body at the interface can be induced by secondary flows triggered by the amplitude gradients of the liquid vibrations.","2022-03","2022-05-30 09:49:14","2022-05-30 09:49:14","2022-05-30 09:49:14","328","","3","137","","Eur. Phys. J. Plus","","","","","","","","","","","","","arXiv.org","","arXiv:2205.01630 [physics]","","/Users/cwilkinson/Zotero/storage/ZY7IHKMB/Apffel et al. - 2022 - Liquid interface shaping and transport phenomena i.pdf; /Users/cwilkinson/Zotero/storage/QQCS8CTK/2205.html","","","Physics - Fluid Dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
